# GENERATED by regenerate-expected.sh from CalendarVectors.java against the real contract classes. contracts 0.2.0-land-c, jackson 2.18.2.
# name	verdict	hash (OK) or exception: message (REJECT)
d01-dup-prepend-schemaversion-true	REJECT	MismatchedInputException: Cannot deserialize value of type `int` from Boolean value (token `JsonToken.VALUE_TRUE`)
d02-dup-prepend-schemaversion-object	REJECT	MismatchedInputException: Cannot deserialize value of type `int` from Object value (token `JsonToken.START_OBJECT`)
d03-dup-append-schemaversion-after-all-seen	REJECT	InvalidDefinitionException: No fallback setter/field defined for creator property 'schemaVersion' (of `com.optionsedge.contracts.volpremium.CalendarArtifact`) (through reference chain: com…
d04-dup-adjacent-before-all-seen	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
d05-dup-version-before-last-field	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
d06-dup-sixth-field-then-seventh	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
d07-dup-entries-after-all-seen	REJECT	JsonMappingException: Should never call `set()` on setterless property ('entries') (through reference chain: com.optionsedge.contracts.volpremium.CalendarArtifact["entries"])
d08-dup-entry-field-after-all-four-seen	REJECT	InvalidDefinitionException: No fallback setter/field defined for creator property 'leadWindowMs' (of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`) (through referen…
d09-dup-entry-field-before-all-seen	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
d10-dup-entry-first-value-invalid	REJECT	MismatchedInputException: Cannot deserialize value of type `long` from Boolean value (token `JsonToken.VALUE_TRUE`)
d11-dup-unknown-key-twice	REJECT	UnrecognizedPropertyException: Unrecognized field "x" (class com.optionsedge.contracts.volpremium.CalendarArtifact), not marked as ignorable (7 known properties: "entries", "validFromDate", "…
d12-dup-after-all-seen-with-null	REJECT	InvalidDefinitionException: No fallback setter/field defined for creator property 'calendarVersion' (of `com.optionsedge.contracts.volpremium.CalendarArtifact`) (through reference chain: c…
j01-schemaversion-float-1.0	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j02-schemaversion-string-1	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j03-hashversion-float-1.5	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j04-version-as-number	OK	979a12a784893d2f824e5da064e4cf99ab757de03b5a969975638d2d8086ff37
j05-date-as-array	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j06-entry-missing-windows	OK	3434fa809ce0d56ea768680e35fc346816773897ddfb3502c88eb341a6aaa269
j07-trailing-garbage	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j08-lead-as-string	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j09-instant-as-float	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j10-duplicate-key-last-wins	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j11-null-lead	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash 122cb0e067b084fff3d8348eca8badc2242ee9d48d3dd…
j12-null-version	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is required
j13-bool-as-string-version	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash 122cb0e067b084fff3d8348eca8badc2242ee9d48d3dd…
j14-schemaversion-string-abc	REJECT	InvalidFormatException: Cannot deserialize value of type `int` from String "abc": not a valid `int` value
j15-leading-bom-file	REJECT	JsonParseException: Unexpected character ('﻿' (code 65279 / 0xfeff)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')
j16-eventcode-as-number	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash 122cb0e067b084fff3d8348eca8badc2242ee9d48d3dd…
j17-schemaversion-string-1.0	REJECT	InvalidFormatException: Cannot deserialize value of type `int` from String "1.0": not a valid `int` value
